OBJECTID,ALLEY_TRDA,ALLEY_TR_1,XCNTS_VALU,YDNTS_VALU
274,000331,도봉로156길,204016,463732
275,000332,도봉로165길,203890,464168
276,000338,도봉로21길,202398,457673
277,000439,동소문로42나길,202572,456183
278,001385,제기로2길,203000,454008
279,001441,증가로24바길,192700,453718
280,001442,증가로25길,192334,453538
281,001409,종로65길,201728,453030
282,001561,통일로92길,193387,458320
283,001562,통일로9길,196833,452025
284,001563,퇴계로10길,198267,450969
285,001566,퇴계로32길,199314,451145
286,001569,퇴계로53길,200405,451631
287,001571,퇴계로74길,201298,451679
288,001638,한천로159길,201621,460590
289,001639,한천로160길,201803,460655
290,001649,한천로63길,205860,456042
291,001652,한천로76다길,205791,456953
292,001188,원효로25길,195878,448140
293,001304,인촌로24가길,202651,453921
294,001161,왕십리로22길,203071,451539
295,001164,왕십리로31가길,202560,451602
296,001166,왕십리로33길,202406,451616
297,001170,외대역동로34길,205900,455357
298,001624,한천로105길,204075,458442
299,001690,화랑로11길,203644,455970
300,001691,화랑로18나길,204407,456341
301,001694,화랑로22길,204596,456306
302,001695,화랑로23길,204502,456552
303,001575,퇴계로88길,201837,451622
304,001583,풍성로25길,210649,448406
305,000403,독서당로59길,202783,450400
306,000752,삼양로93길,201445,459804
307,001485,천호대로111길,207242,450871
308,001486,천호대로134길,207931,449862
309,001491,천호대로27길,203331,452935
310,001494,천호대로77나길,205620,451696
311,001502,청구로21길,200943,451065
312,001173,용답25길,204699,451373
313,001064,연무장3길,204516,449483
314,001065,연무장5가길,204858,449329
315,001138,옥인6길,196880,453467
316,001140,올림픽로33길,209491,446459
317,001696,화랑로25길,204591,456665
318,001701,화랑로45길,205837,457454
319,001703,화랑로48길,206062,457021
320,001705,화랑로53길,208304,458568
321,001614,한글비석로48길,205956,462811
322,001617,한남대로21길,200503,448340
323,000797,서초대로1길,198509,443246
324,000827,성덕정15길,204770,448767
325,000866,솔매로43길,202085,458707
326,000461,동일로191길,206359,458374
327,001504,청구로6길,201343,451333
328,001506,청룡10길,195020,442180
329,001509,청룡7길,195382,442326
330,001512,청룡마을길,205097,438693
331,001143,올림픽로4길,206721,445363
332,001092,영등포로13길,190200,447115
333,001093,영등포로18길,190348,446889
334,001094,영등포로25길,190978,446984
335,001097,영등포로53길,192062,446797
336,001102,영등포로65길,192856,446232
337,001618,한남대로27길,200254,448863
338,001619,한남대로42길,200245,449284
339,001664,혜화로14길,200007,454546
340,001666,혜화로9길,199832,454191
341,001667,호암로18길,194031,440649
342,000476,동일로242가길,204956,464143
343,000353,도봉로81길,201902,459525
344,000368,도화길,195601,449096
345,000375,독막로8길,192764,449725
346,001515,청림5길,196595,443089
347,001520,청파로49길,197235,449520
348,001521,청파로61길,197297,449763
349,001525,청황길,186041,446309
350,001529,충정로6길,197113,451536
351,001104,영등포로80길,192945,445679
352,001198,월계로38길,204232,457902
353,001199,월계로49길,205013,458902
